What is your age range?,What is your gender?,"What is your approximate total household investable assets? (includes checking, savings, or money market accounts and investments – excludes your primary residence and employer-sponsored retirement accounts)",Which of the following best describes your level of comfort using technology?,What is your usual method for contacting a company? - Selected Choice,What is your usual method for contacting a company? - Other - Text,"How often do you call companies for customer service (ie support, issue, order)?",Why do you typically call customer service or a company phone number? - Selected Choice,Why do you typically call customer service or a company phone number? - Other - Text,"When you call a company, do you prefer to speak to a live agent or use an voice assistant?",How would you rate your overall experience with virtual assistants when calling a company or customer service line?,"In the past, when speaking with virtual assistant for a company, did the virtual assistant accurately understand and address your needs or concerns?",How easy or difficult do you find it to communicate with a virtual assistant when calling a company?,Can you please explain what parts of the experience make it difficult?,Can you please explain what parts of the experience make it easy?,Please rank the following factors in order of importance to your overall experience with an automated phone system: (drag and drop) - Clarity of instructions,Please rank the following factors in order of importance to your overall experience with an automated phone system: (drag and drop) - Ease of navigation,Please rank the following factors in order of importance to your overall experience with an automated phone system: (drag and drop) - Speed of response,Please rank the following factors in order of importance to your overall experience with an automated phone system: (drag and drop) - Accuracy of information,Please rank the following factors in order of importance to your overall experience with an automated phone system: (drag and drop) - Ability to reach a live agent,How comfortable are you with virtual assistants that capture your information?,Can you please explain what makes you feel that way?,At what point during the conversation with the voice assistant would you prefer to speak to a live agent?,How would you rate your comfort level with an automated system handling the following tasks? - Password reset,How would you rate your comfort level with an automated system handling the following tasks? - Real-time account balance,"How would you rate your comfort level with an automated system handling the following tasks? - Account information (Direct deposit setup, routing information)",How would you rate your comfort level with an automated system handling the following tasks? - Recently cleared checks,How would you rate your comfort level with an automated system handling the following tasks? - Physical Check reorder,How would you rate your comfort level with an automated system handling the following tasks? - Stop payment on a check,How would you rate your comfort level with an automated system handling the following tasks? - Withdrawal activity,How would you rate your comfort level with an automated system handling the following tasks? - Deposit activity,How would you rate your comfort level with an automated system handling the following tasks? - Credit card payment,"How would you rate your comfort level with an automated system handling the following tasks? - Rate & Yields (Dividend interest payments, fund yield etc)",How would you rate your comfort level with an automated system handling the following tasks? - Product features and benefits,How would you rate your comfort level with an automated system handling the following tasks? - Mortgage Inquiry,"Imagine that you need to reset your password.
Assuming that whether you use the voice assistant or a human agent, you get your desired outcome (ie your password is reset).

Ideally, how do you envision this interaction playing out with an voice assistant?","Imagine that you need to check your account balance. 
Assuming that whether you use the voice assistant or a human agent, you get your desired outcome (ie you are told your account balance). 

Ideally, how do you envision this interaction playing out with an voice assistant?","Imagine that you need assistance navigating the company's home page. 
Assuming that whether you use the voice assistant or a human agent, you get your desired outcome (ie your questions or concerns about the home page are answered). 

Ideally, how do you envision this interaction playing out with an voice assistant?"
65,Female,"$1,000,000 - $5,000,000",Extremely comfortable,Email,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Terrible,No,Extremely difficult,They don’t understand the issue just get canned responses,,3,4,5,2,1,Extremely comfortable,,After trying the automated system once,Not Comfortable,Neutral,Not Comfortable,Neutral,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Neutral,Comfortable,Not Comfortable,I din’t,I don’t,Vey frustrating
45-54,Male,"$5,000,000 - $10,000,000",Extremely comfortable,Email,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Poor,No,Neutral,,,1,2,5,3,4,Somewhat comfortable,,Only if the automated system cannot help me,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Neutral,Not Comfortable,Not Comfortable,"Password reset, confirmation and done","request balance, recieve balances, and done",direct
35-44,Male,"$5,000,000 - $10,000,000",Extremely comfortable,Email,,A few times a month,To place an order or make a purchase,,Always prefer a live agent,Delightful,No,Extremely difficult,They never hear my response ,,3,5,4,2,1,Extremely uncomfortable,I don't like talking to machines,Immediately,Not Comfortable,Comfortable,Not Comfortable,Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Constantly repeating information on my end,Not listening,Not being able to be transparent on issues needing clarification
45-54,Female,"$1,000,000 - $5,000,000",Somewhat comfortable,Phone,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Terrible,No,Extremely difficult,"If I am calling, it’s because I can’t get the answers from the virtual assistant. I need a live person to help",,3,5,2,4,1,Neutral,,After trying the automated system once,Not Comfortable,Comfortable,Not Comfortable,Comfortable,Comfortable,Not Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,"The assistant asked what I need help with, I identify I need to reset my password,.  They ask 3 security questions and then allow me to reset password",Ask for account balance and be told it immediately ,Can’t fathom how the home page would need assistance 
65,Male,"$1,000,000 - $5,000,000",Somewhat comfortable,Email,,A few times a month,To get help with a technical issue or difficulty,,Prefer a live agent but may speak to an voice assistant,Average,No,Somewhat difficult,Voice assistants have set “menus”,,4,2,5,1,3,Somewhat uncomfortable,They don’t understand commands,After trying the automated system once,Neutral,Comfortable,Not Comfortable,Comfortable,Neutral,Not Comfortable,Not Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Not Comfortable,Sends a link for reset,Menu item,Absurd
65,Male,"$1,000,000 - $5,000,000",Somewhat uncomfortable,Phone,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Terrible,No,Somewhat difficult,voice recognition technology is poor,,2,4,3,5,1,Somewhat uncomfortable,It is unclear  how the information is pertinent to the problem at hand,Immediately,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Not Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,no difference between a voice assistant and a human agent,no difference,no difference
65,Male,"$1,000,000 - $5,000,000",Somewhat comfortable,Phone,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Terrible,No,Somewhat difficult,Lack of understanding the issue,,4,5,2,3,1,Extremely uncomfortable,They usually just don't work,Immediately,Neutral,Neutral,Not Comfortable,Neutral,Neutral,Neutral,Not Comfortable,Not Comfortable,Not Comfortable,Neutral,Neutral,Neutral,It would seem better to reset a password online - not by speaking about it,This is another thing I can just check online - not use a voice assistant,if I can't figure out how to nao talvigate a home page I would want to talk with a person
65,Female,"$1,000,000 - $5,000,000",Somewhat comfortable,Phone,,A few times a year,To ask a question about a product or service,,Always prefer a live agent,Terrible,No,Extremely difficult,The virtual assistant never seems to understand what I'm trying to ask. I have never resolved anything by communicating with a virtual assistant.,,2,5,4,3,1,Extremely comfortable,,After trying the automated system once,Comfortable,Comfortable,Not Comfortable,Comfortable,Comfortable,Not Comfortable,Comfortable,Comfortable,Not Comfortable,Comfortable,Comfortable,Not Comfortable,Ideally the voice assistant would immediately understand why I called and what I'm trying to accomplish and help me accomplish my task quickly and accurately.,I would want a correct reply right away.,I would want the correct answer to my query without having to repeat myself.
65,Female,"$1,000,000 - $5,000,000",Somewhat comfortable,Phone,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Poor,Kind of,Somewhat difficult,Sometimes the options given are not what your problem is.,,3,4,5,1,2,Somewhat uncomfortable,Don't always hone in on the issue.,Immediately,Not Comfortable,Comfortable,Not Comfortable,Comfortable,Not Comfortable,Not Comfortable,Neutral,Neutral,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,If it works it's great; I would rather do that with texting or email.,"If everything checks out ok; it's fine. But if balances don't match, it's not ok.",It would not work out well if I had questions.
35-44,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Phone,,A few times a year,To get help with a technical issue or difficulty,,Always prefer a live agent,Good,Kind of,Extremely easy,,take short time and easy ,2,5,3,4,1,Extremely comfortable,,Immediately,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Neutral,Neutral,Comfortable,only for open,go to right way in short time,i coman with the company name
65,Male,"$10,000,000.00",Somewhat comfortable,Phone,,A few times a year,To get help with a technical issue or difficulty,,Always prefer a live agent,Poor,No,Somewhat difficult,understanding what is the problem,,3,5,4,2,1,Somewhat comfortable,,After multiple attempts with the automated system,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,verify accurately who is changing password,complete verification of account holder before providing account balance,determine which page you are having problems with
35-44,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Phone,,Daily,To resolve an issue with a product or service,,Always prefer a live agent,Good,Yes,Extremely easy,,Better option available for now and forevermore.,1,2,3,4,5,Extremely comfortable,,After trying the automated system once,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Neutral,Better option available for now and forevermore ,Better option available for now and forevermore.,Everything  in general at all cost of the 
45-54,Male,"$1,000,000 - $5,000,000",Somewhat comfortable,Phone,,A few times a month,To resolve an issue with a product or service,,Prefer a live agent but may speak to an voice assistant,Good,Yes,Somewhat easy,,Reliable and dependable and reliable service ,5,4,3,2,1,Somewhat comfortable,,After multiple attempts with the automated system,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Neutral,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Reliable and dependable and reliable service ,Innovative and reliable service ,dependable and reliable service 
65,Male,"$1,000,000 - $5,000,000",Neutral,Phone,,A few times a year,To place an order or make a purchase,,Always prefer a live agent,Poor,Kind of,Somewhat difficult,options given do no address the nature of the problem,,2,3,5,4,1,Neutral,,After trying the automated system once,Not Comfortable,Neutral,Comfortable,Not Comfortable,Not Comfortable,Neutral,Not Comfortable,Not Comfortable,Not Comfortable,Comfortable,Neutral,Not Comfortable,with significant misinformation,fairly accurate,pretty straightforward
35-44,Male,"$5,000,000 - $10,000,000",Somewhat comfortable,Phone,,A few times a month,To resolve an issue with a product or service,,Always prefer a live agent,Good,Yes,Extremely easy,,The agent gave me the best ideas on how to do,4,5,1,2,3,Extremely comfortable,,After trying the automated system once,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Good service ,Provision of trust,None
65,Male,"$10,000,000.00",Somewhat comfortable,Email,,A few times a year,To get help with a technical issue or difficulty,,Always prefer a live agent,Average,No,Neutral,,,5,3,2,4,1,Neutral,,After trying the automated system once,Not Comfortable,Neutral,Neutral,Comfortable,Comfortable,Neutral,Neutral,Neutral,Neutral,Comfortable,Comfortable,Neutral,"would use online website, no voice assistance necessary","would check my account online, no voice assistance",cannot imagine not being able to navigate a home page
65,Female,"$1,000,000 - $5,000,000",Extremely comfortable,Phone,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Poor,No,Somewhat difficult,"Unless it is a routine question, they either don't understand it or are not able to handle the request. ",,5,2,4,3,1,Extremely comfortable,,After trying the automated system once,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Neutral,Neutral,Comfortable,Comfortable,Comfortable,Neutral,Neutral,They reset my password and provide clear instructions for me to choose and enable a new one.,I quickly receive my accurate account balance. ,Not well.  I am doubtful that the voice assistant would provide accurate navigation instructions or be helpful in directing me to what I want 
35-44,Female,"$1,000,000 - $5,000,000",Somewhat comfortable,Phone,,A few times a year,To get help with a technical issue or difficulty,,Always prefer a live agent,Good,Kind of,Somewhat easy,,I think the ease of doing things is exceptional,5,2,1,3,4,Somewhat comfortable,,After trying the automated system once,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Neutral,I don't really know,I don't think I need one,I don't think I need one
65,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Email,,A few times a year,To make a complaint or give feedback about a product or service,,Always prefer a live agent,Terrible,No,Neutral,,,5,4,3,2,1,Somewhat uncomfortable,"Hacking and other ""bad actors"" can get into the system at some point and use my stored information for cloning or other purposes",Immediately,Not Comfortable,Neutral,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Comfortable,Not Comfortable,"Inevitably, a lack of understanding with my still-strong accent and if in my lifetime career field, an AI that knows nothing about it while I use technical phrases and words further increasing the frustration for me.","An automated robotic voice that takes several steps before I find out what a simple one-click website would do or, better, a human.",A totally unsatisfactory outcome where I never reach the desired outcome.
35-44,Male,"$10,000,000.00",Extremely comfortable,Phone,,Daily,To ask a question about a product or service,,Always prefer a live agent,Delightful,Yes,Extremely easy,,The way they approved my request,3,5,1,4,2,Extremely comfortable,,Immediately,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Good,Interesting,Lovely
55-65,Female,"$1,000,000 - $5,000,000",Somewhat comfortable,Phone,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Average,Kind of,Somewhat difficult,Doesn’t understand what I am saying ,,4,5,3,2,1,Somewhat uncomfortable,Not correct interpretation ,After trying the automated system once,Not Comfortable,Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Neutral,Neutral,Neutral,Easy instructions ,Simply,Ask what you need to navigate home page
35-44,Female,"$10,000,000.00",Extremely comfortable,Online Chat,,Daily,To resolve an issue with a product or service,,Always prefer a live agent,Good,Yes,Extremely easy,,Their good community response ,5,1,3,2,4,Extremely comfortable,,After trying the automated system once,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,I will feel comfortable since my request has been solved,I will be very satisfied upon checking my account balance ,I Will be very satisfied with it
25-34,Male,"$10,000,000.00",Extremely comfortable,Phone,,Daily,To ask a question about a product or service,,Always prefer a live agent,Delightful,Yes,Extremely easy,,The quick response from you are aware of this but I am interested in the morning and happy new year to you are aware of this but you know can you send me your pictures please I want you are laughing rtygsg,3,2,4,5,1,Extremely comfortable,,Immediately,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Not Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,I am not sure what to do with my life and I am not sure what to do with my friends are for the job posting on social security card for the job posting on social media platforms like to know more about the position of the position of the position you you have available for me fagrsgg,I am not sure what to do with it and I am not sure what to do with my life and I am not sure what you mean about this one you have a big difference between the two of us are dead redemption code for the job posting job on my way to babalawo I am not sure if you are aware of this but I am interested to see the way you can offer you my love but I am interested in the job posting on Craigslist and Craigslist and I would love you more about you are laughing at the gykssg,The quick response from you are aware of this but I am interested in the gjmddy I am not am I I am interested in this world and I will be there to do with my life and I am not sure if you if I have money to do with it my love I have been trying to get this get done before the end of the year for you guys to me pls me and I am not sure what to do with my life and I am gudek
25-34,Male,"$10,000,000.00",Extremely comfortable,Email,,A few times a month,To resolve an issue with a product or service,,Prefer a live agent but may speak to an voice assistant,Delightful,Yes,Somewhat easy,,They usually respond in a timely fashion,4,5,2,3,1,Extremely comfortable,,Immediately,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,"I will logout first,then login to reset",I will check up directly,I will seek for an assistant
65,Female,"$1,000,000 - $5,000,000",Somewhat comfortable,Phone,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Average,Yes,Neutral,,,1,2,3,4,5,Somewhat comfortable,,Immediately,Neutral,Neutral,Comfortable,Comfortable,Not Comfortable,Not Comfortable,Neutral,Neutral,Neutral,Comfortable,Comfortable,Comfortable,They ask a question to identify me then I can do tesnsxxtin ,They provide the answer as it's easy ,A but challenging as need yo be very clear 
35-44,Female,"$10,000,000.00",Extremely comfortable,Phone,,Daily,To resolve an issue with a product or service,,Always prefer a live agent,Good,Yes,Extremely easy,,Answering questions ,1,3,4,2,5,Extremely comfortable,,Immediately,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Neutral,Comfortable,Comfortable,Neutral,Your partner last name with a simple symbol ,Tell them the amount that they have left on the card ,You give them information
25-34,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Email,,A few times a month,To resolve an issue with a product or service,,Prefer a live agent but may speak to an voice assistant,Average,Yes,Extremely easy,,The experience was very significant and very awesome and so much flabbergasted ,1,4,5,2,3,Somewhat comfortable,,Only if the automated system cannot help me,Comfortable,Neutral,Comfortable,Not Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,I'm going to interact with them basically on what I'm experiencing at the present moment and I'm sure it's going to be fine,I really don't even know how to me always and everytime I eat I need to do with it and I can send ,That's cool I need to do with it and I can send it to you babe you can send the video to me always have to say 
35-44,Male,"$10,000,000.00",Extremely comfortable,Email,,A few times a month,To ask a question about a product or service,,Prefer a voice assistant but may speak to a live agent,Delightful,Yes,Extremely easy,,Because it understand me easily and resolve my issue,1,5,2,3,4,Extremely comfortable,,After trying the automated system once,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Well ill say that ive forgot my password and I want a reset,I will sorak to it directly ,I will sau exactly what ive hard in mind 
45-54,Female,"$10,000,000.00",Extremely comfortable,Email,,Daily,To make a complaint or give feedback about a product or service,,Prefer a live agent but may speak to an voice assistant,Delightful,Yes,Extremely easy,,everything ,2,4,5,3,1,Extremely comfortable,,Immediately,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,just follow instruction,chat online,chat online
45-54,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Email,,A few times a month,To ask a question about a product or service,,Always prefer a live agent,Good,Yes,Somewhat easy,,The relating part ,1,3,4,5,2,Somewhat comfortable,,After trying the automated system once,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,I'm a right way,Nice ,Great
65,Male,"$1,000,000 - $5,000,000",Somewhat uncomfortable,Phone,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Terrible,Kind of,Extremely difficult,Language barrier ,,2,3,4,5,1,Somewhat uncomfortable,Don’t trust ,Immediately,Not Comfortable,Neutral,Not Comfortable,Neutral,Not Comfortable,Not Comfortable,Neutral,Neutral,Not Comfortable,Comfortable,Neutral,Neutral,Mid communication ,Difficulty ,Fine
35-44,Female,"$1,000,000 - $5,000,000",Somewhat comfortable,Email,,A few times a month,To resolve an issue with a product or service,,Prefer a live agent but may speak to an voice assistant,Average,Kind of,Neutral,,,3,4,2,1,5,Somewhat comfortable,,After trying the automated system once,Comfortable,Neutral,Neutral,Not Comfortable,Comfortable,Neutral,Neutral,Neutral,Neutral,Comfortable,Comfortable,Neutral,"First, the VA should be able validate and verify me based on details I provide. Once that is settled, the VA should  walk me through the solution to  the issues I presented.","I expect the VA to be patient, precise and timely with the instructions.",I could envision the assistant providing directions in a timely manner.
45-54,Male,"$1,000,000 - $5,000,000",Somewhat comfortable,Online Chat,,Daily,To resolve an issue with a product or service,,Prefer a live agent but may speak to an voice assistant,Good,Yes,Somewhat easy,,Best as well too and it is a little time to cool down to a good value for the last ,1,3,4,5,2,Somewhat comfortable,,After trying the automated system once,Comfortable,Comfortable,Not Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Best too as well as it was a red card since we got lucky and it ,Reliable for the as well too as early enough every evening everyone e,Won go to school u no well I hope u are fine with me I dey use 
65,Male,"$1,000,000 - $5,000,000",Somewhat uncomfortable,Phone,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Good,Kind of,Somewhat difficult,"not having the required dept., not having enough options, and usually having to wait for a live operator...if there is one.  answers that are not detailed enough.",,2,4,5,3,1,Somewhat uncomfortable,don't like dealing with a computer,After trying the automated system once,Comfortable,Comfortable,Comfortable,Neutral,Neutral,Not Comfortable,Comfortable,Neutral,Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,giving my account number and required info....it asks me new password twice to put in...tells me its done,give my account number and password and it gives me my balance,give my account # and password...it gives me the options...I pick the one I need...I doubt I could get an accurate answer...It sounds too complicated to get to a specific aread
65,Female,"$1,000,000 - $5,000,000",Somewhat comfortable,Phone,,A few times a year,To place an order or make a purchase,,Always prefer a live agent,Poor,Kind of,Somewhat difficult,virtual assistants do not understand context,,3,4,5,2,1,Somewhat uncomfortable,cocerned about privacey,Immediately,Not Comfortable,Neutral,Not Comfortable,Not Comfortable,Neutral,Not Comfortable,Neutral,Neutral,Neutral,Not Comfortable,Neutral,Not Comfortable,would not do this with voice assistant,i would selct this option from a menu,would not do with voice assistant
65,Male,"$1,000,000 - $5,000,000",Somewhat comfortable,Phone,,A few times a year,To get help with a technical issue or difficulty,,Always prefer a live agent,Poor,No,Somewhat difficult,too many glitches with accepting my input.  Would have to repeat the process several times or default to a live rep.,,1,2,3,4,5,Somewhat uncomfortable,Too often the interaction is glitchy.,After trying the automated system once,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Not Comfortable,"I would request a password reset and the assistant would send me a code to my phone or email account to start the input of the new password. Finally, I would receive email confirmation of the password reset.",I input the account number and then receive a code by text to input and access the account.,I would click the help icon and then state what I needed to the virtual assistant and it would give me verbal and visual instructions.
65,Male,"$1,000,000 - $5,000,000",Somewhat comfortable,Phone,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Poor,Kind of,Somewhat difficult,"The choices offered are not enough, and my responses are not always understood.",,5,1,4,3,2,Somewhat comfortable,,After trying the automated system once,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,"Asking questions to verify my identity, asking me to enter my new password, and then asking me to re-enter to make sure it was understood.","Me entering information to identify me as the account owner, and then receiving the account balance.",Not sure how I would use a voice assistant for this.
65,Female,"$1,000,000 - $5,000,000",Somewhat comfortable,Online Chat,,A few times a year,To get help with a technical issue or difficulty,,Always prefer a live agent,Terrible,No,Extremely difficult,They don’t understand what my issue is ,,2,3,4,5,1,Neutral,,Immediately,Neutral,Comfortable,Not Comfortable,Comfortable,Neutral,Neutral,Neutral,Neutral,Neutral,Comfortable,Neutral,Neutral,Taking several attempts ,Good,Not well
65,Male,"$1,000,000 - $5,000,000",Somewhat comfortable,Phone,,A few times a year,To place an order or make a purchase,,Always prefer a live agent,Poor,No,Somewhat difficult,They often do not speak english,,5,3,4,2,1,Somewhat uncomfortable,Why do you ask,After trying the automated system once,Neutral,Neutral,Not Comfortable,Neutral,Neutral,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Neutral,Neutral,Not Comfortable,Poorly....very poorly,I guess that could work,I am not sure what the question is
45-54,Female,"$1,000,000 - $5,000,000",Somewhat comfortable,Online Chat,,A few times a month,To resolve an issue with a product or service,,Always prefer a live agent,Poor,No,Extremely difficult,I’m never directed to whom I need,,5,2,3,1,4,Somewhat uncomfortable,Too much info,Immediately,Not Comfortable,Comfortable,Not Comfortable,Neutral,Not Comfortable,Not Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Neutral,Neutral,It repeats it to me,Smoothly ,Smoothly
35-44,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Email,,A few times a month,To ask a question about a product or service,,Always prefer a live agent,Good,No,Somewhat easy,,The fact that the assistant was straight forward and quick,2,1,5,3,4,Extremely comfortable,,After trying the automated system once,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Neutral,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Its good but i don’t think its necessary ,Its quite alright ,I don’t it its necessary
65,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Email,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Average,Kind of,Somewhat easy,,Usually just asked to enter a number,4,3,5,2,1,Somewhat comfortable,,Immediately,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Neutral,Neutral,Comfortable,"If i'm typing my responses, just fine.",Perfectly,"If I need help navigating a home page, I'll probably close my browser and never come back."
65,Female,"$1,000,000 - $5,000,000",Somewhat comfortable,Phone,,A few times a year,To get help with a technical issue or difficulty,,Always prefer a live agent,Poor,Kind of,Somewhat difficult,Excessive screening responses necessary,,4,3,5,1,2,Somewhat uncomfortable,too many questions before getting to the point of the contact issue,After trying the automated system once,Neutral,Neutral,Neutral,Neutral,Neutral,Not Comfortable,Neutral,Neutral,Neutral,Not Comfortable,Not Comfortable,Neutral,Virtual assistant must understand my inquiry and direct me to appropriate steps to resolve.,Most accurate information is communicated,Th most difficult issue I encounter with home pages is locating the direct contact information such as mail/email/phone number.  I prefer this to being directed to online form to complete
65,Male,"$5,000,000 - $10,000,000",Somewhat comfortable,Email,,A few times a year,To place an order or make a purchase,,Always prefer a live agent,Average,Kind of,Somewhat difficult,Its difficult to find the rightcwords it will understand properly.,,2,5,1,4,3,Somewhat comfortable,,After trying the automated system once,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Neutral,Neutral,Comfortable,Neutral,Neutral,Not Comfortable,They would check for accuracy before ending the discussion ,They tell me the exact amount as of a certain time ,They would ask me to do a survey 
65,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Email,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Average,Kind of,Neutral,,,1,4,5,3,2,Neutral,,Only if the automated system cannot help me,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Send me a link to reset. ,Ask for account balance,Ask for an explanation of the home page
65,Male,"$1,000,000 - $5,000,000",Neutral,Phone,,A few times a year,To place an order or make a purchase,,Always prefer a live agent,Average,Kind of,Somewhat difficult,they don't necessarily understand the issue,,3,5,1,4,2,Neutral,,After trying the automated system once,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Neutral,it successfully helps me change the password,I hang up knowing my balance,I would feel uncomfortable with this transaction
55-65,Female,"$1,000,000 - $5,000,000",Somewhat comfortable,Phone,,A few times a year,To get help with a technical issue or difficulty,,Always prefer a live agent,Poor,Kind of,Somewhat difficult,"Couldn’t understand what I was saying, and did not understand what my problem was",,5,4,3,2,1,Somewhat uncomfortable,Not comfortable speaking to an IA robot,Immediately,Not Comfortable,Comfortable,Not Comfortable,Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Neutral,Not Comfortable,Comfortable,Comfortable,Not Comfortable,But ask me for required information to identify myself and then talk to me through setting up a new password,I get the required information for the system to identify me and it gives me the information I need,The system would tell me step-by-step how to use the companies homepage
65,Male,"$1,000,000 - $5,000,000",Somewhat comfortable,Phone,,A few times a year,To get help with a technical issue or difficulty,,Always prefer a live agent,Poor,No,Somewhat difficult,It is hard to explain my problem,,4,5,3,2,1,Somewhat uncomfortable,I have low confidence that I  will be helped.,Immediately,Neutral,Neutral,Not Comfortable,Neutral,Comfortable,Not Comfortable,Neutral,Comfortable,Comfortable,Neutral,Not Comfortable,Neutral,very quick with few hurdles to pass,quick and direct based on account number,direct based upon a few questions
65,Female,"$1,000,000 - $5,000,000",Somewhat comfortable,Online Chat,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Average,Kind of,Somewhat difficult,They ask questions that don’t relate to my problem ,,1,2,3,4,5,Somewhat uncomfortable,My specific question isn’t listed,Immediately,Neutral,Neutral,Neutral,Comfortable,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Comfortable,Comfortable,Completing the task,Answering my question , Getting me where I need to be
